glyph_name,ps_name,sort_final,sort_design
zerowidthspace,uni200B,9424.1,29424.1
lineseparator,uni2028,9507.1,29507.1
objectrepchar,uniFFFC,9510.1,29510.1
paragraphseparator,uni2029,9511.1,29511.1
emquad,uni2001,9600.1,29600.1
emspace,uni2003,9601.1,29601.1
narrownbspace,uni202F,9602.1,29602.1
punctuationspace,uni2008,9604.1,29604.1
sixperemspace,uni2006,9605.1,29605.1
threeperemspace,uni2004,9607.1,29607.1
enquad,uni2000,9608.1,29608.1
enspace,uni2002,9609.1,29609.1
fourperemspace,uni2005,9610.1,29610.1
figurespace,uni2007,9611.1,29611.1
thinspace,uni2009,9612.1,29612.1
hairspace,uni200A,9613.1,29613.1
repchar,uniFFFD,9699.1,29699.1
FontBslnSideBrngMrkrLft,uniF130,9700.1,29700.1
FontBslnSideBrngMrkrRt,uniF131,9701.1,29701.1
.notdef,.notdef,0,30000
.null,.null,1,30001
nonmarkingreturn,nonmarkingreturn,2,30002
